도로명주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),570.0,2594.0,2601.0,2606.0,2313.0,2753.0,3843.0,4281.0,2775.0,1979.0,4371.0,5.0,132.0,1970.0,20200522
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),570.0,2463.0,2583.0,2715.0,2709.0,3017.0,3407.0,3586.0,3732.0,3097.0,3713.0,5.0,175.0,2315.0,20200522
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),575.0,2278.0,2466.0,2497.0,2461.0,2681.0,3010.0,3282.0,4030.0,3355.0,3505.0,5.0,149.0,2095.0,20200522
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),570.0,2569.0,2261.0,2418.0,2269.0,2758.0,3597.0,3937.0,3110.0,2625.0,3945.0,5.0,129.0,1842.0,20200522
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),138.0,1591.0,1566.0,1866.0,1555.0,2301.0,4694.0,5408.0,3166.0,2215.0,5600.0,4.0,56.0,1508.0,20200527
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),138.0,1935.0,1685.0,1941.0,1898.0,2386.0,3278.0,3489.0,3190.0,2622.0,3742.0,4.0,90.0,1178.0,20200527
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),138.0,2293.0,2451.0,2564.0,2534.0,2742.0,2967.0,3051.0,3854.0,3325.0,3539.0,5.0,155.0,994.0,20200527
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),138.0,2322.0,2528.0,2792.0,2988.0,3123.0,3143.0,3186.0,3782.0,3341.0,3217.0,5.0,201.0,903.0,20200527
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),138.0,1855.0,1891.0,2245.0,2192.0,2554.0,3677.0,4039.0,3312.0,2664.0,4236.0,4.0,120.0,1444.0,20200527
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),138.0,2259.0,2243.0,2412.0,2436.0,2623.0,2652.0,2808.0,3172.0,2783.0,2988.0,5.0,149.0,1008.0,20200527
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),138.0,2083.0,2170.0,2451.0,2555.0,3054.0,3489.0,3626.0,3723.0,2992.0,3798.0,10.0,159.0,1065.0,20200527
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),156.0,1878.0,1622.0,1894.0,1891.0,2341.0,3147.0,3467.0,3210.0,2604.0,3574.0,4.0,90.0,1285.0,20200601
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),156.0,1966.0,2152.0,2415.0,2601.0,2909.0,3388.0,3522.0,3807.0,3227.0,3738.0,10.0,161.0,1305.0,20200601
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),156.0,1274.0,1514.0,1855.0,1891.0,2484.0,4096.0,4768.0,3753.0,2682.0,5041.0,4.0,95.0,1225.0,20200601
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),156.0,2300.0,2633.0,2906.0,3092.0,3205.0,3269.0,3364.0,3932.0,3603.0,3289.0,10.0,209.0,1305.0,20200601
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),156.0,1777.0,1875.0,2165.0,2164.0,2575.0,3745.0,4078.0,3377.0,2713.0,4068.0,5.0,118.0,1448.0,20200601
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),156.0,2263.0,2380.0,2509.0,2447.0,2522.0,2721.0,2864.0,3129.0,2844.0,3023.0,5.0,150.0,1130.0,20200601
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),156.0,2092.0,2337.0,2506.0,2439.0,2620.0,2853.0,3061.0,3733.0,3227.0,3341.0,3.0,147.0,1305.0,20200601
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),624.0,2291.0,2499.0,2641.0,2626.0,2812.0,3134.0,3420.0,3996.0,3333.0,3601.0,5.0,165.0,2458.0,20200606
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),630.0,2249.0,2273.0,2452.0,2453.0,2702.0,2832.0,2972.0,3310.0,2813.0,3183.0,5.0,147.0,2631.0,20200606
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),630.0,1744.0,1751.0,2100.0,2078.0,2502.0,3514.0,3740.0,3361.0,2764.0,4029.0,5.0,110.0,2641.0,20200606
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),642.0,2500.0,2745.0,3041.0,3276.0,3420.0,3453.0,3516.0,4071.0,3493.0,3561.0,5.0,228.0,2583.0,20200606
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),630.0,5071.0,4661.0,4323.0,3993.0,4352.0,4673.0,4858.0,3852.0,3039.0,4975.0,8.0,255.0,2519.0,20200606
